date,close,volume,open,high,low,,,,,,,,,,,,,,,,,,,
12/8/2011,55.8086,93960468,55.9214,56.5,55.7471,,,,,,,,,,,,,,,,,,,
12/9/2011,56.2314,74176572,56.1214,56.2914,55.8614,,,,,,,,,,,,,,,,,,,
12/12/2011,55.9771,74755332,55.9543,56.2714,55.6357,,,,,,,,,,,,,,,,,,,
12/13/2011,55.5443,84620155,56.1428,56.4857,55.3,,,,,,,,,,,,,,,,,,,
12/14/2011,54.3128,101456840,55.2428,55.34,53.9543,,,,,,,,,,,,,,,,,,,
12/15/2011,54.1343,64036768,54.7614,54.82,54.0443,,,,,,,,,,,,,,,,,,,
12/16/2011,54.4314,105291372,54.3371,54.8786,54.2243,,,,,,,,,,,,,,,,,,,
12/19/2011,54.6014,58582206,54.6386,54.9786,54.3543,,,,,,,,,,,,,,,,,,,
12/20/2011,56.5643,84150665,55.3943,56.5857,55.3228,,,,,,,,,,,,,,,,,,,
12/21/2011,56.635,65476620,56.67,56.7571,56.0014,,,,,,,,,,,,,,,,,,,
12/22/2011,56.9357,50399476,56.7143,57.0186,56.5857,,,,,,,,,,,,,,,,,,,
12/23/2011,57.6186,67331438,57.0986,57.6557,57.0707,,,,,,,,,,,,,,,,,,,
12/27/2011,58.0757,66234181,57.5857,58.4414,57.5743,,,,,,,,,,,,,,,,,,,
12/28/2011,57.52,57101943,58.1271,58.3214,57.3343,,,,,,,,,,,,,,,,,,,
12/29/2011,57.8743,53774275,57.6286,57.95,57.2157,,,,,,,,,,,,,,,,,,,
12/30/2011,57.8571,44900596,57.6443,58.04,57.6414,,,,,,,,,,,,,,,,,,,
1/3/2012,58.7471,75476123,58.4857,58.9286,58.4286,,,,,,,,,,,,,,,,,,,
1/4/2012,59.0628,64703000,58.5714,59.24,58.4686,,,,,,,,,,,,,,,,,,,
1/5/2012,59.7186,67606475,59.2786,59.7928,58.9528,,,,,,,,,,,,,,,,,,,
1/6/2012,60.3428,79538994,59.9671,60.3928,59.8886,,,,,,,,,,,,,,,,,,,
1/9/2012,60.2471,98339110,60.7857,61.1071,60.1928,,,,,,,,,,,,,,,,,,,
1/10/2012,60.4628,64474443,60.8443,60.8571,60.2143,,,,,,,,,,,,,,,,,,,
1/11/2012,60.3643,53739093,60.3828,60.4071,59.9014,,,,,,,,,,,,,,,,,,,
1/12/2012,60.1986,53125179,60.3257,60.4143,59.8214,,,,,,,,,,,,,,,,,,,
1/13/2012,59.9728,56446393,59.9571,60.0643,59.8086,,,,,,,,,,,,,,,,,,,
1/17/2012,60.6714,60589792,60.6,60.8557,60.4228,,,,,,,,,,,,,,,,,,,
1/18/2012,61.3014,68859875,60.9943,61.3528,60.9,,,,,,,,,,,,,,,,,,,
1/19/2012,61.1071,65151043,61.45,61.6241,60.93,,,,,,,,,,,,,,,,,,,
1/20/2012,60.0428,103061661,61.07,61.0714,59.9643,,,,,,,,,,,,,,,,,,,
1/23/2012,61.0584,76162193,60.3814,61.2071,60.3286,,,,,,,,,,,,,,,,,,,
1/24/2012,60.0586,127725188,60.7286,60.7286,59.9357,,,,,,,,,,,,,,,,,,,
1/25/2012,63.8086,239249712,64.92,64.9214,63.39,,,,,,,,,,,,,,,,,,,
1/26/2012,63.5186,80913094,64.0514,64.1128,63.3057,,,,,,,,,,,,,,,,,,,
1/27/2012,63.8971,74902122,63.4771,64.0686,63.3957,,,,,,,,,,,,,,,,,,,
1/30/2012,64.7157,94626868,63.6728,64.8428,63.6271,,,,,,,,,,,,,,,,,,,
1/31/2012,65.2114,97874379,65.0843,65.4628,64.7243,,,,,,,,,,,,,,,,,,,
2/1/2012,65.17,67269418,65.4871,65.57,65.0786,,,,,,,,,,,,,,,,,,,
2/2/2012,65.0171,46615058,65.1286,65.31,64.8543,,,,,,,,,,,,,,,,,,,
2/3/2012,65.6686,71618981,65.3286,65.7143,65.08,,,,,,,,,,,,,,,,,,,
2/6/2012,66.2814,62225658,65.4828,66.4257,65.4573,,,,,,,,,,,,,,,,,,,
2/7/2012,66.9757,78941684,66.4643,67.1071,66.3687,,,,,,,,,,,,,,,,,,,
2/8/2012,68.0971,101696381,67.2143,68.1128,67.1,,,,,,,,,,,,,,,,,,,
2/9/2012,70.4528,220416976,68.68,70.9643,68.6514,,,,,,,,,,,,,,,,,,,
2/10/2012,70.4886,157587127,70.1371,71.0886,69.7928,,,,,,,,,,,,,,,,,,,
2/13/2012,71.8,128970559,71.3614,71.9757,71.0128,,,,,,,,,,,,,,,,,,,
2/14/2012,72.78,114963904,72.0943,72.7943,71.7143,,,,,,,,,,,,,,,,,,,
2/15/2012,71.0957,374517892,73.4657,75.1843,70.9843,,,,,,,,,,,,,,,,,,,
2/16/2012,71.7443,235805641,70.2143,72.1271,69.5186,,,,,,,,,,,,,,,,,,,
2/17/2012,71.7314,133666300,71.8728,72.5385,71.4714,,,,,,,,,,,,,,,,,,,
2/21/2012,73.55,150412545,72.4114,73.55,72.0171,,,,,,,,,,,,,,,,,,,
2/22/2012,73.2914,120564116,73.2971,73.6414,72.7243,,,,,,,,,,,,,,,,,,,
2/23/2012,73.77,141721973,73.5828,73.9756,72.7857,,,,,,,,,,,,,,,,,,,
2/24/2012,74.63,103715531,74.2385,74.7,74.0914,,,,,,,,,,,,,,,,,,,
2/27/2012,75.1085,136457481,74.4728,75.5,73.7543,,,,,,,,,,,,,,,,,,,
2/28/2012,76.4871,149434575,75.4228,76.4871,75.1214,,,,,,,,,,,,,,,,,,,
2/29/2012,77.4914,237448891,77.3657,78.23,76.5285,,,,,,,,,,,,,,,,,,,
3/1/2012,77.7814,170563731,78.31,78.3157,76.9671,,,,,,,,,,,,,,,,,,,
3/2/2012,77.8828,107544392,77.7485,78.1143,77.5028,,,,,,,,,,,,,,,,,,,
3/5/2012,76.1657,201797181,77.9171,78.2114,75.1428,,,,,,,,,,,,,,,,,,,
3/6/2012,75.7514,202211301,74.8085,76.2414,73.7458,,,,,,,,,,,,,,,,,,,
3/7/2012,75.8128,198964910,76.6857,76.8257,74.7571,,,,,,,,,,,,,,,,,,,
3/8/2012,77.4271,128668929,76.3843,77.57,76.0171,,,,,,,,,,,,,,,,,,,
3/9/2012,77.8814,104560151,77.7443,78.2485,77.5871,,,,,,,,,,,,,,,,,,,
3/12/2012,78.8571,101001000,78.426,78.8571,78.1428,,,,,,,,,,,,,,,,,,,
3/13/2012,81.1571,172173592,79.6485,81.1685,79.3928,,,,,,,,,,,,,,,,,,,
3/14/2012,84.2257,353599156,82.5785,84.96,82.2,,,,,,,,,,,,,,,,,,,
3/15/2012,83.6514,289496777,85.6585,85.7157,82.65,,,,,,,,,,,,,,,,,,,
3/16/2012,83.6528,206076492,83.5314,84.1714,82.5714,,,,,,,,,,,,,,,,,,,
3/19/2012,85.8714,224435817,85.4814,85.9671,84.15,,,,,,,,,,,,,,,,,,,
3/20/2012,86.5657,203497481,85.6443,86.7,83.1428,,,,,,,,,,,,,,,,,,,
3/21/2012,86.0714,160447118,86.1057,87.0928,85.9157,,,,,,,,,,,,,,,,,,,
3/22/2012,85.62,155867437,85.3971,86.3571,85.0757,,,,,,,,,,,,,,,,,,,
3/23/2012,85.15,107403062,85.7843,85.9714,84.9144,,,,,,,,,,,,,,,,,,,
3/26/2012,86.7114,148719035,85.6843,86.7357,85.0371,,,,,,,,,,,,,,,,,,,
3/27/2012,87.7828,151353625,86.5971,88.04,86.58,,,,,,,,,,,,,,,,,,,
3/28/2012,88.2314,163667329,88.34,88.7785,87.1871,,,,,,,,,,,,,,,,,,,
3/29/2012,87.1228,151111705,87.54,88.08,86.7471,,,,,,,,,,,,,,,,,,,
3/30/2012,85.65,182067395,86.9671,87.2228,85.42,,,,,,,,,,,,,,,,,,,
4/2/2012,88.3757,149091365,85.9757,88.3957,85.7685,,,,,,,,,,,,,,,,,,,
4/3/2012,89.9028,208117692,89.6143,90.3157,88.93,,,,,,,,,,,,,,,,,,,
4/4/2012,89.1871,142980433,89.1928,89.4085,88.1428,,,,,,,,,,,,,,,,,,,
4/5/2012,90.5257,159997578,89.5685,90.6657,89.0571,,,,,,,,,,,,,,,,,,,
4/9/2012,90.89,149052655,89.4471,91.4057,89.3285,,,,,,,,,,,,,,,,,,,
4/10/2012,89.7771,221909237,91.4185,92,89.4285,,,,,,,,,,,,,,,,,,,
4/11/2012,89.4571,173844142,90.8857,90.9814,89.0489,,,,,,,,,,,,,,,,,,,
4/12/2012,88.9671,153188746,89.2857,90.19,88.6428,,,,,,,,,,,,,,,,,,,
4/13/2012,86.4614,214640084,89.1585,89.2428,86.2157,,,,,,,,,,,,,,,,,,,
4/16/2012,82.8757,262356159,87.1514,87.1828,82.6071,,,,,,,,,,,,,,,,,,,
4/17/2012,87.1,255328647,82.7057,87.1428,81.7014,,,,,,,,,,,,,,,,,,,
4/18/2012,86.9057,238277411,87.6743,88.6071,86.1014,,,,,,,,,,,,,,,,,,,
4/19/2012,83.92,208302982,85.7457,86.3903,83.5028,,,,,,,,,,,,,,,,,,,
4/20/2012,81.8543,257480867,84.4828,84.9457,81.4885,,,,,,,,,,,,,,,,,,,
4/23/2012,81.6714,241398292,81.5157,82.3814,79.5171,,,,,,,,,,,,,,,,,,,
4/24/2012,80.04,263552249,80.3728,81.0985,79.2857,,,,,,,,,,,,,,,,,,,
4/25/2012,87.1428,225862488,87.9478,88.2857,86.5714,,,,,,,,,,,,,,,,,,,
4/26/2012,86.8143,133588810,87.7528,87.8128,86.0185,,,,,,,,,,,,,,,,,,,
4/27/2012,86.1428,101533910,86.4385,86.5971,85.7857,,,,,,,,,,,,,,,,,,,
